Código;Tipo de institución;Nombre de institución;"Acreditación institución 
(Al 30 de octubre 2020)";Área;Nombre carrera genérica;Nombre carrera (del título);% titulados con continuidad de estudios;Retención 1er año; Duración Real (semestres) ;Empleabilidad 1er año;Empleabilidad 2° año;Ingreso promedio al 4° año de titulación
261;Centros de Formación Técnica;Centro de Formación Técnica Andrés Bello;No;Educación;Técnico Asistente del Educador de Párvulos;Técnico de Nivel Superior en Educación Parvularia y Primer Ciclo Básico;9.6%;s/i; 6.8 ;31.3%;45.3%;De $400 mil a $500 mil
261;Centros de Formación Técnica;Centro de Formación Técnica Andrés Bello;No;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;29.1%;s/i; 6.3 ;58.8%;62.4%;De $600 mil a $700 mil
261;Centros de Formación Técnica;Centro de Formación Técnica Andrés Bello;No;Tecnología;Técnico en Construcción y Obras Civiles;Técnico en Construcción Civil;22.1%;s/i; 8.2 ;62.3%;62.5%;De $500 mil a $600 mil
261;Centros de Formación Técnica;Centro de Formación Técnica Andrés Bello;No;Salud;Técnico en Enfermería;Técnico Superior en Enfermería;3.4%;s/i; 6.5 ;32.2%;51.9%;De $500 mil a $600 mil
261;Centros de Formación Técnica;Centro de Formación Técnica Andrés Bello;No;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;19.7%;s/i; s/i ;33.3%;43.5%;De $500 mil a $600 mil
261;Centros de Formación Técnica;Centro de Formación Técnica Andrés Bello;No;Ciencias Sociales;Técnico en Servicio Social;Técnico en Trabajo Social;23.8%;s/i; 7.2 ;37.5%;51.7%;De $500 mil a $600 mil
258;Centros de Formación Técnica;Centro de Formación Técnica Barros Arana;No;Administración y Comercio;Técnico en Seguridad Privada;Técnico de Nivel Superior en Gestión de Seguridad Privada;2.9%;s/i; s/i ;100.0%;100.0%;s/i
426;Centros de Formación Técnica;Centro de Formación Técnica Cámara de Comercio de Santiago;3 años;Administración y Comercio;Técnico en Administración de Recursos Humanos y Personal;Técnico en Administración en Recursos Humanos;28.5%;68.3%; 6.1 ;68.6%;71.9%;De $600 mil a $700 mil
426;Centros de Formación Técnica;Centro de Formación Técnica Cámara de Comercio de Santiago;3 años;Administración y Comercio;Técnico en Administración de Ventas;Técnico en Administración Comercial;33.5%;55.1%; 5.6 ;64.9%;72.6%;De $800 mil a $900 mil
426;Centros de Formación Técnica;Centro de Formación Técnica Cámara de Comercio de Santiago;3 años;Administración y Comercio;Técnico en Administración Financiera y Finanzas;Técnico en Finanzas;45.7%;63.5%; 5.1 ;71.7%;83.3%;s/i
426;Centros de Formación Técnica;Centro de Formación Técnica Cámara de Comercio de Santiago;3 años;Administración y Comercio;Técnico en Comercio Exterior;Técnico en Administración en Comercio Exterior;22.1%;51.9%; 6.6 ;72.6%;73.3%;De $700 mil a $800 mil
426;Centros de Formación Técnica;Centro de Formación Técnica Cámara de Comercio de Santiago;3 años;Administración y Comercio;Técnico en Contabilidad General;Técnico en Contabilidad General;34.1%;62.8%; 6.2 ;70.7%;79.1%;De $700 mil a $800 mil
426;Centros de Formación Técnica;Centro de Formación Técnica Cámara de Comercio de Santiago;3 años;Administración y Comercio;Técnico en Logística;Técnico en Logística Operativa;26.2%;62.6%; 6.4 ;80.7%;88.5%;De $700 mil a $800 mil
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Administración y Comercio;Técnico en Administración de Empresas;Técnico en Administración de Empresas;15.9%;62.1%; 6.3 ;42.1%;65.7%;s/i
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Tecnología;Técnico en Electricidad y Electricidad Industrial;Técnico en Electricidad y Electrónica Industrial;13.2%;61.6%; 6.8 ;61.5%;68.8%;De $800 mil a $900 mil
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Salud;Técnico en Enfermería;Técnico en Enfermería y Telemedicina;2.0%;80.2%; 6.9 ;42.6%;66.3%;De $500 mil a $600 mil
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Ciencias Básicas;Técnico en Geominería;Técnico en Geominería;19.2%;66.1%; 8.1 ;59.1%;64.7%;De $800 mil a $900 mil
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Tecnología;Técnico en Mantenimiento Industrial;Técnico en Maquinaria Pesada;5.6%;70.0%; 7.5 ;55.6%;65.6%;De $800 mil a $900 mil
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Tecnología;Técnico en Mecánica Industrial;Técnico en Mecánica de Equipo Pesado;11.8%;60.6%; 7.2 ;67.2%;74.5%;De $800 mil a $900 mil
456;Centros de Formación Técnica;Centro de Formación Técnica CEDUC - UCN;5 años;Tecnología;Técnico en Prevención de Riesgos;Técnico en Prevención de Riesgos;20.1%;s/i; 7.7 ;33.0%;56.3%;De $600 mil a $700 mil
312;Centros de Formación Técnica;Centro de Formación Técnica CENCO;No;Salud;Técnico en Enfermería;Técnico de Nivel Superior en Enfermería;1.6%;s/i; s/i ;77.4%;61.1%;De $500 mil a $600 mil
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Educación;Técnico Asistente del Educador de Párvulos;Técnico en Educación Párvulos 1 y 2;2.2%;74.8%; 6.2 ;52.3%;73.6%;s/i
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Educación;Técnico Asistente del Educador Diferencial;Técnico en Educación Especial;7.1%;82.7%; 6.1 ;39.5%;50.8%;s/i
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Salud;Técnico Dental y Asistente de Odontología;Técnico en Odontología;1.9%;79.5%; 6.6 ;56.6%;65.9%;De $500 mil a $600 mil
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Salud;Técnico en Enfermería;Técnico en Enfermería  ;2.6%;74.7%; 6.8 ;70.6%;77.9%;De $500 mil a $600 mil
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Salud;Técnico en Laboratorio Clínico;Técnico en Laboratorio Clínico y Banco de Sangre;0.7%;71.7%; 6.7 ;68.6%;74.2%;De $500 mil a $600 mil
218;Centros de Formación Técnica;Centro de Formación Técnica de ENAC;6 años;Salud;Técnico en Masoterapia;Técnico en Masoterapia;1.0%;67.0%; 6.4 ;20.4%;48.9%;s/i
